NOME,CAPACIDADE,LATITUDE,LONGITUDE,NOME DO TIME,TREINADORES,CAPITÃES ,DIVISÃO,WEB
Maracanã,78.838,-22.91216,-43.23391,Clube de Regatas do Flamengo,Jorge Sampaoli,Diego Ribas,True,https://www.flamengo.com.br/
 Mané Garrincha,72.000,-15.78375,-47.89903,Legião Futebol Clube,Bruno Lessa,,False,
Morumbi,66.795,-23.60006,-46.72016,São Paulo Futebol Clube,Dorival Junior,Diego Costa,True,https://saopaulofc.com.br/
Arena Castelão,63.903,-3.80674,-38.52168,Ceará Sporting Club,Lucho González,Luiz Otávio,True,https://cearasc.com/
Mineirão,61.927,-19.86591,-43.97104,Cruzeiro Esporte Clube,Eduardo Coudet,,False,https://www.atletico.com.br/
Arruda,60.000,-8.370429,-34.89120,Santa Cruz Futebol Clube,Felipe Conceição,Didira,True,https://www.santacruzpe.com.br/
Arena do Grêmio,55.662,-29.97404,-51.19511,Grêmio Foot-Ball Porto Alegrense,Renato Gaúcho,Geromel,True,https://www.gremio.net/
Mangueirão,55.645,-13.8706,-48.44513,Sport Club Belém,Mano Menezes,,False,
Beira-Rio,50.848,-21.28552,-51.23492,Sport Club Internacional,Vanderlei Luxemburgo,Rodrigo Dourado,True,https://www.internacional.com.br/
Neo Química Arena,48.234,-23.54529,-46.4742,Sport Club Corinthians Paulista,Renato Paiva,Cássio,True,https://www.corinthians.com.br/
Arena Fonte Nova,48.000,-12.97889,-38.50348,Sport Club Bahia,Ito Roque,Conti,True,https://www.esporteclubebahia.com.br/
Parque do Sabiá,46.782,-18.91309,-48.23299,Uberlândia Esporte Clube,Enderson Moreira,,False,https://www.uberlandiaec.com.br/
Arena Pernambuco,46.000,-8.03269,-34.89120,Sport Club do Recife,Ademir Fesan,Chico,False,https://sportrecife.com.br/
Arena MRV,46.000,-19.93001,-44.01388,Atlético Mineiro,Luís Castro,Réver,False,https://atletico.com.br/
Prudentão,45.954, -22.09857,51.41506,Presidente Prudente Futebol Clube,Gerson Gusmão,,False,
Engenhão,45.217,-22.89319,-43.29357,Botafogo de Futebol e Regata,Rafael Guanaes,Diego Loureiro,True,tps://www.botafogo.com.br/
Albertão,44.200,-5.11614,-42.79287,River Atlético Clube,Ivo Vieira,,False,
Morenão,44.200,-20.50143,-54.61022,Operário Futebol Clube,Marcelo Cabo,Marcelo,False,https://operarioferroviario.com.br/
 Arena Pantanal,44.097,-15.60406,-5612230,Cuiabá Esporte Clube,Pepa,Uendel,True,https://cuiabaesporteclube.com.br/
Arena da Amazônia,44.000,-3.08434,-60.02650,Manaus Futebol Clube,Higo Magalhães ,,False,https://manausfc.com.br/